Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-07-01","4,488","14,963","9.88","7","279","434","113","143","3,604"
"2020-07-02","2,781","12,019","7.99","3","964","364","40","1","1,606"
"2020-07-03","3,647","16,845","11.2","10","457","384","126","46","2,589"
"2020-07-04","3,383","10,059","6.68","11","540","331","79","62","2,215"
"2020-07-05","2,621","10,115","6.8","9","476","211","23","44","1,256"
"2020-07-06","3,572","13,298","8.84","5","67","268","146","75","2,456"
"2020-07-07","2,935","12,308","8.13","7","572","324","84","10","1,776"
"2020-07-08","3,221","12,868","8.55","9","856","391","47","46","2,122"
"2020-07-09","3,596","17,849","11.87","10","397","443","68","49","2,537"
"2020-07-10","2,870","10,027","6.67","13","454","268","24","69","1,618"
"2020-07-11","2,794","12,791","8.51","6","597","343","62","1","1,623"
"2020-07-12","3,178","14,671","9.69","6","392","389","97","22","2,115"
"2020-07-13","3,897","17,954","11.86","5","214","441","150","56","2,959"
"2020-07-14","2,750","11,645","8.26","22","885","181","36","75","1,477"
"2020-07-15","2,921","11,443","7.61","5","485","356","57","15","1,774"
"2020-07-16","2,834","12,220","8.13","4","460","376","34","6","1,680"
"2020-07-17","3,844","17,183","11.38","8","286","424","111","71","2,841"
"2020-07-18","3,590","16,926","11.26","24","522","330","36","113","2,467"
"2020-07-19","2,571","12,180","8.44","17","605","163","12","59","1,236"
"2020-07-20","3,848","13,139","8.74","7","770","310","132","120","2,836"
"2020-07-21","3,072","12,302","8.18","5","458","360","82","2","1,941"
"2020-07-22","3,526","14,237","9.5","7","449","318","98","77","2,417"
"2020-07-23","3,737","18,602","12.32","4","353","424","136","36","2,722"
"2020-07-24","3,062","12,456","8.53","26","586","268","56","66","1,843"
"2020-07-25","3,227","12,919","8.59","8","697","347","115","22","2,143"
"2020-07-26","2,983","12,994","8.64","7","461","388","44","13","1,845"
"2020-07-27","3,577","17,493","11.65","12","402","400","96","47","2,506"
"2020-07-28","2,666","10,031","6.51","13","407","291","12","40","1,411"
"2020-07-29","2,142","12,496","8.31","7","945","18","0","0","55"
"2020-07-30","478","0","0","0","444","0","0","0","0"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-07-28 10:01PM","2020-07-29 5:58AM","423","54","32","477","109","230","84"
"2020-07-27 11:16PM","2020-07-28 8:47AM","527","44","34","571","165","218","144"
"2020-07-26 9:44PM","2020-07-27 5:59AM","439","56","36","495","120","208","111"
"2020-07-26 4:25PM","2020-07-26 6:14PM","103","6","1","109","N/A","N/A","N/A"
"2020-07-25 10:53PM","2020-07-26 5:58AM","361","64","32","425","82","206","73"
"2020-07-25 4:56PM","2020-07-25 9:16PM","207","52","7","259","35","152","20"
"2020-07-24 12:28AM","2020-07-24 8:12AM","417","47","29","464","94","225","98"
"2020-07-22 9:41PM","2020-07-23 5:52AM","423","68","38","491","103","224","96"
"2020-07-21 9:41PM","2020-07-22 6:00AM","433","65","38","498","103","211","119"
"2020-07-21 4:06PM","2020-07-21 6:35PM","147","2","0","149","N/A","N/A","N/A"
"2020-07-20 10:31PM","2020-07-21 5:00AM","337","52","22","389","70","202","65"
"2020-07-20 4:41PM","2020-07-20 6:30PM","98","10","1","108","N/A","N/A","N/A"
"2020-07-19 1:02PM","2020-07-19 2:16PM","69","3","1","74","N/A","N/A","N/A"
"2020-07-18 11:39PM","2020-07-19 8:26AM","471","56","35","527","123","217","131"
"2020-07-18 2:23AM","2020-07-18 9:42AM","394","45","29","439","98","202","94"
"2020-07-16 8:49PM","2020-07-17 5:57AM","435","113","33","548","87","201","147"
"2020-07-15 8:24PM","2020-07-16 5:48AM","464","100","49","564","107","218","139"
"2020-07-14 8:02PM","2020-07-15 4:49AM","448","79","31","527","103","236","109"
"2020-07-14 10:50AM","2020-07-14 2:49PM","200","39","12","239","54","111","35"
"2020-07-13 10:13PM","2020-07-14 12:24AM","123","8","0","131","N/A","N/A","N/A"
"2020-07-12 9:05PM","2020-07-13 4:58AM","416","57","35","473","118","216","82"
"2020-07-11 8:48PM","2020-07-12 5:48AM","456","84","43","540","121","247","88"
"2020-07-11 5:09PM","2020-07-11 6:15PM","65","1","0","66","N/A","N/A","N/A"
"2020-07-10 11:39PM","2020-07-11 5:50AM","318","53","25","371","75","182","61"
"2020-07-10 12:12AM","2020-07-10 10:38AM","549","76","48","625","107","318","124"
"2020-07-08 9:51PM","2020-07-09 5:54AM","415","68","33","483","97","179","139"
"2020-07-08 7:08PM","2020-07-08 8:48PM","79","21","7","100","N/A","N/A","N/A"
"2020-07-06 10:21PM","2020-07-07 5:51AM","406","44","21","450","100","232","74"
"2020-07-05 8:54PM","2020-07-06 5:49AM","483","52","7","535","N/A","N/A","N/A"
"2020-07-05 12:34AM","2020-07-05 8:54AM","460","40","35","500","116","250","94"
"2020-07-04 1:56AM","2020-07-04 9:04AM","378","50","32","428","118","172","88"
"2020-07-02 10:46PM","2020-07-03 5:53AM","368","59","38","427","74","184","110"
"2020-07-02 5:40PM","2020-07-02 6:51PM","71","0","0","71","N/A","N/A","N/A"
"2020-06-30 9:58PM","2020-07-01 5:49AM","378","93","28","471","80","200","98"

