Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-06-01","3,998","18,455","12.27","19","230","364","191","71","3,007"
"2020-06-02","2,734","11,742","7.81","29","588","247","67","36","1,510"
"2020-06-03","3,023","14,174","9.36","7","962","441","37","0","1,914"
"2020-06-04","2,996","12,549","8.35","5","525","392","44","10","1,839"
"2020-06-05","3,498","13,774","9.11","6","466","372","69","64","2,376"
"2020-06-06","3,112","13,200","8.68","5","514","303","111","19","1,943"
"2020-06-07","3,688","16,696","11.04","6","425","399","120","48","2,631"
"2020-06-08","3,494","20,146","14.26","88","497","212","55","139","2,330"
"2020-06-09","3,090","12,771","8.47","4","343","347","61","27","1,943"
"2020-06-10","3,232","13,797","9.16","10","377","286","108","48","2,093"
"2020-06-11","3,426","15,042","10","10","364","337","132","38","2,339"
"2020-06-12","2,445","10,485","7.46","30","542","210","18","32","1,107"
"2020-06-13","3,095","13,701","9.11","5","355","353","70","27","1,960"
"2020-06-14","2,973","13,841","9.18","6","990","367","77","6","1,859"
"2020-06-15","3,363","13,553","9.01","4","378","358","113","20","2,224"
"2020-06-16","2,605","10,695","7.97","13","548","188","6","59","1,268"
"2020-06-17","2,594","10,967","8.15","21","396","181","20","66","1,301"
"2020-06-18","3,386","12,840","8.54","8","344","326","99","58","2,288"
"2020-06-19","3,478","12,044","8.01","3","331","244","97","119","2,356"
"2020-06-20","3,262","13,386","8.87","5","1,076","197","121","46","1,821"
"2020-06-21","3,437","15,544","10.34","7","802","497","48","8","2,364"
"2020-06-22","2,632","10,136","6.74","9","624","304","17","6","1,353"
"2020-06-23","2,967","12,508","8.32","5","259","320","59","27","1,781"
"2020-06-24","3,424","13,552","9.01","5","655","369","67","75","2,333"
"2020-06-25","3,913","18,937","12.59","6","425","347","138","86","2,883"
"2020-06-26","3,370","16,153","11.78","9","591","158","48","144","2,115"
"2020-06-27","3,046","14,536","9.67","11","471","370","84","5","1,926"
"2020-06-28","2,907","13,222","8.79","4","508","395","41","1","1,769"
"2020-06-29","3,395","14,187","9.43","7","367","411","87","10","2,249"
"2020-06-30","2,602","10,072","7.45","20","492","133","62","59","1,272"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-06-29 11:11PM","2020-06-30 10:45AM","625","69","55","694","181","308","136"
"2020-06-28 8:41PM","2020-06-29 6:06AM","474","91","41","565","87","199","188"
"2020-06-27 9:35PM","2020-06-28 5:50AM","449","46","38","495","140","210","99"
"2020-06-26 9:24PM","2020-06-27 5:54AM","453","57","35","510","103","220","130"
"2020-06-26 2:33AM","2020-06-26 10:52AM","407","92","19","499","125","173","109"
"2020-06-24 10:25PM","2020-06-25 5:49AM","374","70","36","444","78","186","110"
"2020-06-24 12:35AM","2020-06-24 5:09AM","238","36","19","274","7","191","40"
"2020-06-23 6:06PM","2020-06-23 10:31PM","207","58","16","265","38","121","48"
"2020-06-22 9:29PM","2020-06-23 5:59AM","449","61","38","510","123","249","77"
"2020-06-22 2:26AM","2020-06-22 10:35AM","437","52","34","489","144","187","106"
"2020-06-21 4:13PM","2020-06-21 5:38PM","73","12","3","85","N/A","N/A","N/A"
"2020-06-19 4:24PM","2020-06-19 7:06PM","142","20","3","162","N/A","N/A","N/A"
"2020-06-18 9:25PM","2020-06-19 5:32AM","416","71","37","487","89","248","79"
"2020-06-18 4:42PM","2020-06-18 6:29PM","106","1","0","107","N/A","N/A","N/A"
"2020-06-17 9:34PM","2020-06-18 6:00AM","410","96","41","506","61","257","92"
"2020-06-17 1:38PM","2020-06-17 5:10PM","179","33","16","212","20","130","29"
"2020-06-17 12:41AM","2020-06-17 10:06AM","491","74","6","565","N/A","N/A","N/A"
"2020-06-16 2:39PM","2020-06-16 4:02PM","73","10","0","83","N/A","N/A","N/A"
"2020-06-16 9:23AM","2020-06-16 10:23AM","54","6","0","60","N/A","N/A","N/A"
"2020-06-15 11:52PM","2020-06-16 8:08AM","438","58","32","496","145","187","106"
"2020-06-15 4:10PM","2020-06-15 5:12PM","61","1","0","62","N/A","N/A","N/A"
"2020-06-14 9:31PM","2020-06-15 6:00AM","443","66","37","509","109","210","124"
"2020-06-13 8:41PM","2020-06-13 11:50PM","158","31","11","189","19","100","39"
"2020-06-12 10:35PM","2020-06-13 6:01AM","386","60","23","446","99","202","85"
"2020-06-11 10:11PM","2020-06-12 8:49AM","567","71","50","638","118","316","133"
"2020-06-10 8:27PM","2020-06-11 5:56AM","501","68","48","569","136","268","97"
"2020-06-10 5:56PM","2020-06-10 7:24PM","83","4","0","87","N/A","N/A","N/A"
