Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-05-01","3,426","16,224","10.79","2","378","346","103","60","2,352"
"2020-05-02","2,687","11,623","8.36","5","471","216","25","57","1,395"
"2020-05-03","4,129","15,795","10.44","5","277","297","90","181","3,128"
"2020-05-04","3,442","16,934","11.26","6","468","398","85","39","2,388"
"2020-05-05","2,924","11,301","7.52","3","575","267","89","32","1,731"
"2020-05-06","2,753","13,381","9.58","12","325","224","37","61","1,512"
"2020-05-07","3,390","14,097","9.37","2","416","351","103","52","2,313"
"2020-05-08","3,301","16,096","10.7","1","386","405","98","18","2,257"
"2020-05-09","3,650","14,892","9.9","5","351","332","155","73","2,628"
"2020-05-10","2,678","10,030","6.67","1","572","261","54","16","1,412"
"2020-05-11","3,216","14,317","9.52","4","685","324","105","29","2,090"
"2020-05-12","2,762","13,625","9.03","2","386","402","14","3","1,599"
"2020-05-13","3,595","18,679","12.68","4","508","312","128","72","2,530"
"2020-05-14","3,286","13,770","9.16","2","502","291","107","47","2,128"
"2020-05-15","2,647","10,755","7.15","3","431","207","70","37","1,375"
"2020-05-16","3,715","13,664","9.09","1","937","234","172","97","2,641"
"2020-05-17","3,487","14,902","9.88","4","330","260","140","73","2,356"
"2020-05-18","3,661","15,490","10.3","6","449","299","149","87","2,587"
"2020-05-19","2,446","10,224","7.4","8","499","157","23","54","1,091"
"2020-05-20","3,689","16,188","10.77","3","440","305","115","95","2,619"
"2020-05-21","4,025","16,581","11.03","3","317","232","192","141","3,032"
"2020-05-22","3,743","17,676","11.75","3","824","366","112","74","2,713"
"2020-05-23","2,940","11,822","7.86","2","489","285","84","22","1,727"
"2020-05-24","3,135","10,513","6.99","3","559","167","46","115","1,834"
"2020-05-25","4,173","14,704","9.78","3","261","282","193","121","3,196"
"2020-05-26","3,155","13,098","8.68","5","408","328","96","18","2,005"
"2020-05-27","3,278","13,907","9.25","4","448","308","88","51","2,129"
"2020-05-28","3,337","14,044","9.34","2","769","287","125","34","2,185"
"2020-05-29","2,782","10,500","6.98","2","304","192","64","59","1,534"
"2020-05-30","2,993","12,859","8.51","2","510","388","57","5","1,845"
"2020-05-31","2,848","12,696","8.85","11","392","294","15","57","1,648"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-05-30 10:11PM","2020-05-31 9:33AM","582","100","45","682","163","318","101"
"2020-05-29 9:52PM","2020-05-30 5:53AM","430","50","35","480","92","259","79"
"2020-05-29 3:04PM","2020-05-29 4:23PM","78","1","1","79","N/A","N/A","N/A"
"2020-05-28 10:24PM","2020-05-29 10:46AM","600","142","42","742","162","246","192"
"2020-05-28 4:00PM","2020-05-28 7:45PM","179","46","15","225","0","157","22"
"2020-05-26 8:44PM","2020-05-27 5:49AM","470","75","45","545","131","262","77"
"2020-05-26 4:17PM","2020-05-26 6:44PM","125","22","1","147","N/A","N/A","N/A"
"2020-05-25 10:28PM","2020-05-26 5:51AM","376","67","28","443","97","221","58"
"2020-05-25 4:28PM","2020-05-25 6:20PM","98","13","1","112","N/A","N/A","N/A"
"2020-05-24 9:58PM","2020-05-25 5:49AM","416","55","33","471","128","187","101"
"2020-05-24 12:41AM","2020-05-24 9:54AM","485","68","44","553","137","238","110"
"2020-05-23 8:02AM","2020-05-23 5:22PM","493","67","33","560","127","273","93"
"2020-05-22 8:23PM","2020-05-22 9:28PM","60","4","0","64","N/A","N/A","N/A"
"2020-05-21 5:02PM","2020-05-21 7:16PM","126","7","0","133","N/A","N/A","N/A"
"2020-05-20 10:44PM","2020-05-21 5:49AM","370","55","24","425","60","218","92"
"2020-05-19 9:44PM","2020-05-20 5:49AM","435","50","38","485","140","167","128"
"2020-05-19 7:54AM","2020-05-19 12:17PM","217","46","18","263","44","91","82"
"2020-05-18 10:32PM","2020-05-19 5:56AM","401","43","32","444","114","188","99"
"2020-05-17 10:14PM","2020-05-18 5:50AM","402","54","40","456","86","221","95"
"2020-05-16 7:13PM","2020-05-17 5:50AM","549","88","32","637","129","308","112"
"2020-05-15 9:36AM","2020-05-15 12:45PM","176","13","13","189","28","120","28"
"2020-05-14 9:04PM","2020-05-15 5:30AM","442","64","33","506","126","211","105"
"2020-05-13 9:36PM","2020-05-14 5:49AM","431","62","39","493","121","230","80"
"2020-05-12 10:49PM","2020-05-13 5:49AM","378","42","29","420","108","159","111"
"2020-05-12 4:52PM","2020-05-12 7:36PM","136","28","5","164","N/A","N/A","N/A"
"2020-05-11 10:00PM","2020-05-12 5:51AM","380","91","33","471","64","241","75"
"2020-05-11 4:46PM","2020-05-11 7:49PM","162","21","12","183","39","91","32"
"2020-05-11 3:55AM","2020-05-11 5:49AM","106","8","1","114","N/A","N/A","N/A"
"2020-05-10 4:35PM","2020-05-10 6:25PM","98","12","0","110","N/A","N/A","N/A"
"2020-05-10 12:40PM","2020-05-10 2:44PM","119","5","0","124","N/A","N/A","N/A"
"2020-05-10 5:44AM","2020-05-10 7:31AM","85","14","11","107","N/A","N/A","N/A"
"2020-05-10 12:44AM","2020-05-10 4:00AM","171","25","6","196","24","106","41"
"2020-05-09 9:25AM","2020-05-09 6:14PM","465","64","34","529","135","216","114"
"2020-05-08 9:11AM","2020-05-08 6:04PM","492","41","32","533","146","213","133"
"2020-05-07 8:51AM","2020-05-07 5:29PM","476","42","35","518","107","246","123"
"2020-05-06 5:43PM","2020-05-06 6:57PM","73","1","0","74","N/A","N/A","N/A"
"2020-05-06 4:42AM","2020-05-06 1:40PM","452","86","30","538","85","355","12"
"2020-05-05 10:03PM","2020-05-06 1:04AM","164","17","11","181","40","87","37"
"2020-05-05 8:41AM","2020-05-05 4:38PM","423","54","44","477","117","205","101"
"2020-05-04 9:24AM","2020-05-04 4:54PM","399","51","30","450","132","172","95"
"2020-05-03 8:52AM","2020-05-03 6:47PM","538","57","37","595","163","238","137"
"2020-05-02 12:49PM","2020-05-02 3:48PM","157","22","0","179","N/A","N/A","N/A"
"2020-05-02 2:15AM","2020-05-02 10:27AM","430","62","29","492","90","237","103"
"2020-05-01 8:22AM","2020-05-01 5:35PM","471","82","44","553","124","254","93"

