Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-04-01","2,620","10,259","7.38","8","590","188","5","60","1,208"
"2020-04-02","3,498","11,554","8.77","7","511","282","79","96","2,384"
"2020-04-03","3,143","10,003","7.46","16","501","218","77","82","1,887"
"2020-04-04","2,497","10,847","7.17","7","706","226","23","35","1,189"
"2020-04-05","2,477","11,312","8.27","19","496","187","24","56","1,152"
"2020-04-06","2,429","10,190","7.08","10","624","196","20","47","1,090"
"2020-04-07","2,807","16,061","12.27","27","475","172","9","102","1,475"
"2020-04-08","2,781","10,628","7.38","12","610","254","30","49","1,516"
"2020-04-09","2,679","10,434","7","32","543","244","21","47","1,374"
"2020-04-10","2,664","11,227","7.22","26","605","146","19","86","1,351"
"2020-04-11","2,712","11,304","7.55","41","1,139","223","17","61","1,423"
"2020-04-12","3,430","16,777","11.46","22","305","340","65","88","2,356"
"2020-04-13","2,402","10,097","6.13","11","558","239","15","25","1,105"
"2020-04-14","2,505","10,137","7.68","25","565","224","3","49","1,160"
"2020-04-15","2,821","10,162","7.28","18","569","167","17","103","1,507"
"2020-04-16","2,535","10,041","7.2","20","450","195","14","45","1,178"
"2020-04-17","2,492","11,404","7.84","17","607","225","16","52","1,212"
"2020-04-18","3,490","10,043","6.75","11","427","239","78","121","2,282"
"2020-04-19","2,587","11,724","8.26","24","731","187","29","59","1,262"
"2020-04-20","2,478","11,085","7.53","18","634","174","10","62","1,104"
"2020-04-21","2,420","10,020","6.72","40","664","151","22","44","1,005"
"2020-04-22","2,803","12,558","9.47","33","1,130","220","14","76","1,511"
"2020-04-23","2,559","10,031","6.75","23","624","231","18","42","1,220"
"2020-04-24","2,628","10,956","7.18","43","545","262","6","49","1,366"
"2020-04-25","2,811","11,603","7.72","15","481","373","23","20","1,626"
"2020-04-26","2,526","10,981","7.2","13","523","259","11","42","1,255"
"2020-04-27","3,804","14,082","9.36","27","419","285","71","135","2,681"
"2020-04-28","2,954","13,042","9.01","4","947","331","44","35","1,775"
"2020-04-29","3,300","11,728","7.8","0","455","282","119","66","2,181"
"2020-04-30","3,424","15,013","9.98","1","334","341","111","50","2,362"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-04-30 8:54AM","2020-04-30 6:58PM","550","54","38","604","135","324","91"
"2020-04-29 3:53PM","2020-04-29 6:05PM","123","8","1","132","N/A","N/A","N/A"
"2020-04-29 8:22AM","2020-04-29 2:48PM","346","40","23","386","71","205","70"
"2020-04-28 5:30PM","2020-04-28 6:53PM","68","12","0","83","N/A","N/A","N/A"
"2020-04-26 11:52PM","2020-04-27 8:42AM","431","99","41","530","75","229","127"
"2020-04-26 11:40AM","2020-04-26 1:20PM","94","6","0","100","N/A","N/A","N/A"
"2020-04-26 12:14AM","2020-04-26 8:39AM","448","57","33","505","126","256","66"
"2020-04-24 10:27PM","2020-04-25 7:30AM","444","99","33","543","107","249","88"
"2020-04-24 1:15PM","2020-04-24 3:08PM","95","18","0","113","N/A","N/A","N/A"
"2020-04-24 7:02AM","2020-04-24 9:28AM","137","9","0","146","N/A","N/A","N/A"
"2020-04-24 12:27AM","2020-04-24 5:46AM","251","68","17","319","49","156","46"
"2020-04-23 12:00AM","2020-04-23 8:45AM","469","56","39","525","127","262","80"
"2020-04-20 11:12PM","2020-04-21 8:31AM","496","63","36","559","140","259","97"
"2020-04-19 11:21PM","2020-04-20 8:41AM","493","67","37","560","132","266","95"
"2020-04-19 1:52PM","2020-04-19 3:07PM","70","5","0","75","N/A","N/A","N/A"
"2020-04-19 3:51AM","2020-04-19 9:50AM","312","47","23","359","56","185","71"
"2020-04-18 12:15AM","2020-04-18 9:50AM","483","92","37","575","124","266","93"
"2020-04-17 12:07AM","2020-04-17 9:07AM","452","88","33","540","87","271","94"
"2020-04-16 2:02PM","2020-04-16 3:22PM","71","8","1","79","N/A","N/A","N/A"
"2020-04-15 11:56PM","2020-04-16 10:53AM","572","85","45","657","158","287","127"
"2020-04-14 11:47PM","2020-04-15 9:31AM","512","72","49","584","143","270","99"
"2020-04-14 1:27AM","2020-04-14 11:26AM","512","87","43","599","139","265","108"
"2020-04-13 3:18PM","2020-04-13 4:57PM","93","6","0","99","N/A","N/A","N/A"
"2020-04-13 12:36AM","2020-04-13 9:00AM","435","69","33","504","106","242","87"
"2020-04-11 11:00PM","2020-04-12 9:42AM","582","60","52","642","151","280","151"
"2020-04-10 11:27AM","2020-04-10 1:26PM","102","17","3","119","N/A","N/A","N/A"
"2020-04-10 1:34AM","2020-04-10 9:19AM","408","57","26","465","104","224","80"
