Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-03-01","2,737","10,311","7.15","15","802","211","8","59","1,342"
"2020-03-02","2,609","10,030","7.08","4","642","123","9","66","1,156"
"2020-03-03","2,907","11,558","8.16","15","727","270","23","45","1,573"
"2020-03-04","2,677","10,381","7.04","18","588","261","11","32","1,309"
"2020-03-05","2,459","10,374","7.13","23","558","124","11","65","1,074"
"2020-03-06","2,675","13,124","9.01","19","791","251","3","58","1,410"
"2020-03-07","2,985","10,770","7.16","18","441","356","71","11","1,835"
"2020-03-08","2,402","11,029","7.64","22","659","130","14","65","1,032"
"2020-03-09","2,750","13,386","9.17","22","538","253","3","58","1,485"
"2020-03-10","2,904","13,648","9.47","21","746","240","17","74","1,622"
"2020-03-11","2,753","10,708","7.17","10","452","243","28","50","1,463"
"2020-03-12","2,544","10,553","7.26","33","553","156","9","68","1,152"
"2020-03-13","3,097","12,125","8.06","15","536","397","52","11","1,917"
"2020-03-14","2,861","10,005","6.65","18","959","343","52","10","1,682"
"2020-03-15","2,556","10,534","7.11","16","585","228","10","52","1,250"
"2020-03-16","2,887","10,128","6.82","17","478","156","17","106","1,591"
"2020-03-17","2,460","10,049","6.9","33","523","224","9","40","1,150"
"2020-03-18","2,795","11,733","7.92","26","523","266","16","67","1,500"
"2020-03-19","2,588","10,742","6.68","25","637","198","23","53","1,223"
"2020-03-20","2,560","10,027","6.83","24","1,156","229","11","44","1,213"
"2020-03-21","2,628","11,769","7.69","28","646","223","19","57","1,320"
"2020-03-22","2,491","10,783","7.06","36","1,208","184","6","42","1,031"
"2020-03-23","2,346","10,116","6.85","19","530","186","2","41","1,008"
"2020-03-24","2,674","10,713","7.92","27","541","229","14","60","1,352"
"2020-03-25","2,495","10,557","6.92","17","525","122","3","72","1,094"
"2020-03-26","2,749","10,509","6.9","12","636","211","7","70","1,425"
"2020-03-27","2,663","10,558","7.45","11","406","241","13","59","1,367"
"2020-03-28","2,682","10,595","7.5","21","566","257","19","48","1,369"
"2020-03-29","2,633","10,356","7.29","30","1,124","265","13","38","1,304"
"2020-03-30","3,318","13,996","9.72","12","212","193","68","124","2,125"
"2020-03-31","2,714","10,600","7.94","20","534","148","28","82","1,356"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-03-31 4:06PM","2020-03-31 6:05PM","108","11","0","119","N/A","N/A","N/A"
"2020-03-31 1:40AM","2020-03-31 10:29AM","458","71","35","529","127","218","113"
"2020-03-30 1:30PM","2020-03-30 5:29PM","203","36","8","239","65","87","51"
"2020-03-29 11:09PM","2020-03-30 9:13AM","520","84","43","604","162","260","98"
"2020-03-28 1:02AM","2020-03-28 10:13AM","477","73","38","550","107","253","117"
"2020-03-27 9:50PM","2020-03-27 11:47PM","92","25","1","117","N/A","N/A","N/A"
"2020-03-26 11:20PM","2020-03-27 9:24AM","539","65","54","604","162","278","99"
"2020-03-26 8:02AM","2020-03-26 10:13AM","118","13","0","131","N/A","N/A","N/A"
"2020-03-25 8:57PM","2020-03-26 6:25AM","515","52","2","568","N/A","N/A","N/A"
"2020-03-25 12:47AM","2020-03-25 9:43AM","446","90","29","536","90","240","116"
"2020-03-23 11:58PM","2020-03-24 9:54AM","522","74","45","596","135","267","120"
"2020-03-23 2:46PM","2020-03-23 5:19PM","138","15","0","153","N/A","N/A","N/A"
"2020-03-23 2:18AM","2020-03-23 11:06AM","442","86","35","528","96","260","86"
"2020-03-21 2:55AM","2020-03-21 11:10AM","443","52","27","495","138","181","124"
"2020-03-19 2:08PM","2020-03-19 4:17PM","118","10","0","128","N/A","N/A","N/A"
"2020-03-19 1:42AM","2020-03-19 8:24AM","361","40","25","401","94","164","103"
"2020-03-17 10:52PM","2020-03-18 8:20AM","502","66","40","568","122","261","119"
"2020-03-17 11:19AM","2020-03-17 12:33PM","69","5","0","74","N/A","N/A","N/A"
"2020-03-17 2:30AM","2020-03-17 8:52AM","353","29","28","382","109","172","72"
"2020-03-16 10:00PM","2020-03-17 1:07AM","152","35","7","187","26","105","21"
"2020-03-15 11:26PM","2020-03-16 10:49AM","586","97","45","683","146","307","133"
"2020-03-15 1:35PM","2020-03-15 3:32PM","110","7","1","117","N/A","N/A","N/A"
"2020-03-15 1:47AM","2020-03-15 9:15AM","411","37","29","448","102","203","106"
"2020-03-14 12:56PM","2020-03-14 2:12PM","73","3","0","76","N/A","N/A","N/A"
"2020-03-13 4:04PM","2020-03-13 6:16PM","118","14","1","132","N/A","N/A","N/A"
"2020-03-12 11:30PM","2020-03-13 4:42AM","262","50","18","312","56","154","52"
"2020-03-12 1:09AM","2020-03-12 12:04PM","569","85","40","654","184","245","140"
"2020-03-10 10:53PM","2020-03-11 10:00AM","571","96","34","667","151","288","132"
"2020-03-10 1:12AM","2020-03-10 7:15AM","317","46","27","363","63","191","63"
"2020-03-09 1:19PM","2020-03-09 4:31PM","165","27","18","192","39","105","21"
"2020-03-09 12:42AM","2020-03-09 7:18AM","335","61","27","396","80","156","99"
"2020-03-08 6:07PM","2020-03-08 7:28PM","80","1","1","81","N/A","N/A","N/A"
"2020-03-08 12:27AM","2020-03-08 9:38AM","407","84","38","491","86","216","105"
"2020-03-06 11:46PM","2020-03-07 9:07AM","495","66","51","561","129","257","109"
"2020-03-06 7:08AM","2020-03-06 12:46PM","295","42","22","337","83","130","82"
"2020-03-04 11:14PM","2020-03-05 10:37AM","607","75","40","682","154","340","113"
