Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-02-01","3,952","13,110","8.92","15","489","212","103","173","2,867"
"2020-02-02","2,695","12,734","8.38","12","973","209","43","55","1,424"
"2020-02-03","2,584","10,174","6.72","25","588","226","13","34","1,251"
"2020-02-04","2,663","10,130","6.87","16","681","236","27","37","1,298"
"2020-02-05","2,579","10,525","7.15","15","634","198","10","53","1,190"
"2020-02-06","2,496","10,087","6.71","19","549","176","18","52","1,119"
"2020-02-07","2,622","10,037","6.67","5","847","264","20","6","1,263"
"2020-02-08","2,513","10,111","6.89","10","553","206","14","33","1,135"
"2020-02-09","2,476","10,037","6.95","12","792","192","15","52","1,111"
"2020-02-10","2,750","10,695","7.17","13","685","238","14","48","1,400"
"2020-02-11","2,607","11,597","7.73","12","529","222","13","53","1,281"
"2020-02-12","2,403","10,231","7","18","679","179","3","37","1,019"
"2020-02-13","2,465","10,166","6.92","19","541","205","7","46","1,137"
"2020-02-14","3,110","12,614","8.34","10","1,000","380","38","22","1,861"
"2020-02-15","3,142","11,886","7.9","20","385","384","79","22","2,047"
"2020-02-16","4,511","17,581","11.69","26","401","513","8","170","3,627"
"2020-02-17","3,457","13,390","8.88","44","529","188","51","171","2,305"
"2020-02-18","2,541","10,525","7","23","315","314","26","2","1,337"
"2020-02-19","2,476","10,790","7.07","24","597","172","6","58","1,122"
"2020-02-20","2,423","10,036","7.36","39","549","176","5","58","1,067"
"2020-02-21","2,616","11,867","8.61","33","450","206","1","61","1,254"
"2020-02-22","3,160","10,093","6.71","11","489","311","85","33","1,991"
"2020-02-23","2,503","11,312","8.07","28","1,172","201","21","46","1,181"
"2020-02-24","2,537","10,373","7.31","21","647","203","7","42","1,174"
"2020-02-25","2,461","10,533","7.34","17","637","262","1","30","1,166"
"2020-02-26","2,534","11,662","8.27","17","699","193","9","52","1,203"
"2020-02-27","2,551","10,021","6.45","37","386","211","38","33","1,242"
"2020-02-28","2,691","10,082","6.85","15","580","175","30","74","1,369"
"2020-02-29","2,563","10,142","6.74","14","669","249","13","27","1,243"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-02-29 2:44AM","2020-02-29 10:47AM","411","71","35","482","104","192","115"
"2020-02-28 12:36AM","2020-02-28 10:18AM","462","119","39","581","85","253","124"
"2020-02-27 2:24PM","2020-02-27 4:45PM","118","23","1","141","N/A","N/A","N/A"
"2020-02-26 11:51PM","2020-02-27 10:22AM","537","94","39","631","140","317","80"
"2020-02-26 12:26AM","2020-02-26 8:33AM","415","72","42","487","104","233","78"
"2020-02-25 1:17PM","2020-02-25 2:53PM","91","5","0","96","N/A","N/A","N/A"
"2020-02-24 11:35PM","2020-02-25 6:29AM","369","45","36","414","98","176","95"
"2020-02-24 1:08PM","2020-02-24 2:44PM","89","7","0","96","N/A","N/A","N/A"
"2020-02-23 11:53PM","2020-02-24 7:18AM","385","60","26","445","84","198","103"
"2020-02-22 2:37AM","2020-02-22 10:34AM","438","39","38","477","152","171","115"
"2020-02-21 11:23PM","2020-02-22 12:45AM","76","5","1","81","N/A","N/A","N/A"
"2020-02-21 1:01PM","2020-02-21 2:11PM","64","6","0","70","N/A","N/A","N/A"
"2020-02-20 11:11PM","2020-02-21 9:27AM","503","113","41","616","122","267","114"
"2020-02-19 11:31PM","2020-02-20 10:23AM","581","71","46","652","162","272","147"
"2020-02-18 10:31PM","2020-02-19 8:38AM","517","90","29","607","110","273","134"
"2020-02-18 4:47PM","2020-02-18 7:00PM","121","12","0","133","N/A","N/A","N/A"
"2020-02-17 10:41PM","2020-02-18 9:31AM","568","82","45","650","153","271","144"
"2020-02-17 2:55PM","2020-02-17 6:05PM","164","26","13","190","32","87","45"
"2020-02-17 3:37AM","2020-02-17 8:48AM","281","30","30","311","40","190","51"
"2020-02-16 12:04AM","2020-02-16 5:52AM","312","36","18","348","86","157","69"
"2020-02-15 12:27AM","2020-02-15 9:57AM","525","45","48","570","161","254","110"
"2020-02-12 10:11PM","2020-02-13 8:52AM","572","69","43","641","129","341","102"
"2020-02-11 11:09PM","2020-02-12 8:11AM","481","61","39","542","115","286","80"
"2020-02-10 11:38PM","2020-02-11 10:01AM","548","75","40","623","142","287","119"
"2020-02-09 11:42PM","2020-02-10 7:17AM","403","52","28","455","116","192","95"
"2020-02-09 12:17AM","2020-02-09 6:46AM","350","39","23","389","77","202","71"
"2020-02-07 11:47PM","2020-02-08 10:21AM","553","81","45","634","171","233","149"
"2020-02-06 11:55PM","2020-02-07 4:58AM","270","33","24","303","81","129","60"
"2020-02-06 12:58PM","2020-02-06 2:11PM","67","6","0","73","N/A","N/A","N/A"
"2020-02-05 10:58PM","2020-02-06 8:30AM","494","78","40","572","123","271","100"
"2020-02-04 10:58PM","2020-02-05 8:03AM","502","43","44","545","157","257","88"
"2020-02-03 11:50PM","2020-02-04 7:29AM","413","46","31","459","93","229","91"
"2020-02-03 1:11PM","2020-02-03 2:51PM","81","19","1","100","N/A","N/A","N/A"
"2020-02-02 11:45PM","2020-02-03 7:44AM","398","81","38","479","74","250","74"
"2020-02-02 12:22PM","2020-02-02 3:02PM","145","15","0","160","N/A","N/A","N/A"
"2020-02-01 1:21AM","2020-02-01 9:05AM","401","62","30","463","117","209","75"

