Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-01-01","2,850","10,170","7.14","33","470","222","35","74","1,577"
"2020-01-02","2,617","10,022","6.65","18","553","262","38","32","1,367"
"2020-01-03","2,811","10,185","6.76","17","1,088","284","13","55","1,563"
"2020-01-04","2,829","11,038","7.23","30","570","220","66","49","1,545"
"2020-01-05","2,490","10,069","6.55","32","644","206","13","52","1,156"
"2020-01-06","2,803","11,492","7.74","13","744","256","26","48","1,516"
"2020-01-07","2,696","12,100","8.01","10","395","186","14","65","1,370"
"2020-01-08","2,604","11,152","7.32","11","1,155","243","3","39","1,281"
"2020-01-09","2,481","10,965","7.06","18","503","222","7","52","1,173"
"2020-01-10","2,518","10,341","6.94","10","668","269","19","17","1,192"
"2020-01-11","3,357","10,027","6.67","12","209","311","133","47","2,284"
"2020-01-12","3,114","13,490","9.07","25","977","367","63","33","2,011"
"2020-01-13","2,569","10,301","7.04","12","1,153","238","12","37","1,265"
"2020-01-14","2,489","11,015","7.45","40","654","215","10","44","1,161"
"2020-01-15","2,469","10,180","6.77","23","628","234","12","37","1,154"
"2020-01-16","2,559","10,026","6.6","18","1,440","0","0","0","0"
"2020-01-17","2,476","10,189","6.65","8","1,192","198","11","39","1,088"
"2020-01-18","2,755","12,053","7.95","22","430","245","56","37","1,503"
"2020-01-19","2,707","11,066","7.29","10","492","278","11","41","1,386"
"2020-01-20","2,549","10,484","6.9","13","623","269","28","23","1,265"
"2020-01-21","2,569","10,431","6.9","9","508","239","6","37","1,252"
"2020-01-22","2,553","11,577","7.69","13","637","187","8","50","1,202"
"2020-01-23","2,510","11,137","7.26","20","489","209","14","53","1,187"
"2020-01-24","2,588","10,052","6.68","8","573","287","8","21","1,281"
"2020-01-25","3,228","12,291","8.17","21","415","456","44","13","2,153"
"2020-01-26","2,934","10,537","7.01","17","456","405","43","0","1,779"
"2020-01-27","2,463","10,946","7.19","21","563","217","5","42","1,137"
"2020-01-28","2,877","14,858","10.02","17","1,085","286","13","56","1,625"
"2020-01-29","2,819","10,939","7.15","24","568","249","34","45","1,503"
"2020-01-30","2,450","10,256","7.19","27","412","208","5","42","1,117"
"2020-01-31","2,655","10,730","7.24","8","698","267","16","27","1,309"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-01-31 4:52PM","2020-01-31 6:55PM","109","14","1","123","N/A","N/A","N/A"
"2020-01-30 11:32PM","2020-01-31 4:41AM","268","41","13","309","87","137","44"
"2020-01-30 2:25PM","2020-01-30 4:27PM","116","6","1","122","N/A","N/A","N/A"
"2020-01-30 8:50AM","2020-01-30 11:05AM","124","10","0","134","N/A","N/A","N/A"
"2020-01-29 11:38PM","2020-01-30 7:47AM","435","54","33","489","129","188","118"
"2020-01-29 1:27AM","2020-01-29 10:09AM","470","52","32","522","135","262","73"
"2020-01-27 12:43PM","2020-01-27 5:44PM","272","29","16","301","82","116","74"
"2020-01-27 12:18AM","2020-01-27 5:30AM","278","34","16","312","58","151","69"
"2020-01-26 12:33AM","2020-01-26 9:29AM","464","72","35","536","106","251","107"
"2020-01-25 11:36AM","2020-01-25 1:29PM","105","8","0","113","N/A","N/A","N/A"
"2020-01-25 2:13AM","2020-01-25 8:52AM","347","52","33","399","93","176","78"
"2020-01-24 3:51PM","2020-01-24 5:58PM","121","6","1","127","N/A","N/A","N/A"
"2020-01-23 9:59PM","2020-01-24 5:03AM","380","44","23","424","82","187","111"
"2020-01-22 10:41PM","2020-01-23 7:56AM","506","49","42","555","133","299","74"
"2020-01-22 12:10AM","2020-01-22 8:10AM","422","58","38","480","121","195","106"
"2020-01-21 2:13PM","2020-01-21 3:54PM","93","8","0","101","N/A","N/A","N/A"
"2020-01-20 10:07PM","2020-01-21 7:16AM","486","63","40","549","93","302","91"
"2020-01-20 1:07AM","2020-01-20 7:31AM","344","40","24","384","89","183","72"
"2020-01-18 10:52PM","2020-01-19 9:10AM","550","68","38","618","145","273","132"
"2020-01-18 1:58AM","2020-01-18 12:03PM","502","103","36","605","152","241","109"
"2020-01-14 11:47PM","2020-01-15 8:36AM","474","55","38","529","159","207","108"
"2020-01-14 3:27PM","2020-01-14 5:36PM","115","13","0","129","N/A","N/A","N/A"
"2020-01-14 12:48AM","2020-01-14 7:16AM","344","44","25","388","84","177","83"
"2020-01-11 12:11PM","2020-01-11 2:04PM","105","8","0","113","N/A","N/A","N/A"
"2020-01-10 11:23PM","2020-01-11 9:50AM","553","74","50","627","123","309","121"
"2020-01-10 4:08PM","2020-01-10 6:13PM","117","8","0","125","N/A","N/A","N/A"
"2020-01-10 12:55AM","2020-01-10 6:37AM","287","55","20","342","71","147","69"
"2020-01-09 11:46AM","2020-01-09 2:44PM","170","8","0","178","N/A","N/A","N/A"
